,source,target,weight
565,streamed,likely,4
566,streamed,work,3
567,streamed,bringing,3
568,streamed,caballeros,3
569,streamed,g,3
570,streamed,one,15
571,streamed,acts,15
572,streamed,devoted,15
573,streamed,base,4
574,streamed,native,15
575,streamed,mexican,4
576,streamed,two,4
577,streamed,change,4
578,streamed,wanted,15
579,streamed,globally,15
580,streamed,suddenly,15
581,streamed,argentina,15
582,streamed,pushing,15
583,streamed,across,15
584,streamed,accounting,15
585,streamed,king,15
586,streamed,contra,15
587,net,plan,15
588,net,mexico,15
589,net,hottest,15
590,net,fan,15
591,net,set,15
592,net,make,15
593,net,player,15
594,net,values,15
595,net,mustafa,15
596,net,months,15
597,net,leads,15
598,net,firmly,15
599,net,track,15
600,free,plan,15
601,free,mexico,15
602,free,hottest,15
603,free,fan,15
604,free,set,15
605,free,make,15
606,free,player,15
607,free,net,15
608,free,values,15
609,free,mustafa,15
610,free,months,15
611,free,leads,15
612,free,firmly,15
613,free,track,15
614,improving,spin,4
615,improving,likely,4
616,improving,work,3
617,improving,bringing,3
618,improving,caballeros,3
619,improving,g,3
620,improving,one,15
621,improving,acts,15
622,improving,devoted,15
623,improving,base,4
624,improving,native,15
625,improving,mexican,4
626,improving,two,4
627,improving,change,4
628,improving,wanted,15
629,improving,globally,15
630,improving,streamed,15
631,improving,suddenly,15
632,improving,argentina,15
633,improving,pushing,15
634,improving,across,15
635,improving,accounting,15
636,improving,king,15
637,improving,contra,15
638,argentina,spin,4
639,argentina,likely,4
640,argentina,work,3
641,argentina,bringing,3
642,argentina,caballeros,3
643,argentina,g,3
644,argentina,one,15
645,argentina,acts,15
646,argentina,devoted,15
647,argentina,base,4
648,argentina,native,15
649,argentina,mexican,4
650,argentina,two,4
651,argentina,change,4
652,argentina,wanted,15
653,argentina,globally,15
654,argentina,streamed,15
655,argentina,suddenly,15
656,argentina,pushing,15
657,argentina,across,15
658,argentina,accounting,15
659,argentina,king,15
660,argentina,contra,15
661,mustafa,plan,15
662,mustafa,mexico,15
663,mustafa,hottest,15
664,mustafa,fan,15
665,mustafa,set,15
666,mustafa,make,15
667,mustafa,player,15
668,mustafa,net,15
669,mustafa,values,15
670,mustafa,months,15
671,mustafa,leads,15
672,mustafa,firmly,15
673,mustafa,track,15
674,yoda,plan,15
675,yoda,mexico,15
676,yoda,hottest,15
677,yoda,fan,15
678,yoda,set,15
679,yoda,make,15
680,yoda,player,15
681,yoda,net,15
682,yoda,values,15
683,yoda,mustafa,15
684,yoda,months,15
685,yoda,leads,15
686,yoda,firmly,15
687,yoda,track,15
688,american,work,6
689,american,bringing,6
690,american,caballeros,6
691,american,g,6
692,american,group,4
693,american,go,4
694,american,exposure,4
695,american,definitely,4
696,exposure,work,6
697,exposure,bringing,6
698,exposure,caballeros,6
699,exposure,g,6
700,exposure,group,4
701,exposure,go,4
702,exposure,definitely,4
703,far,rap,4
704,far,dial,4
705,far,trouble,4
706,far,abroad,4
707,far,everywhere,4
708,far,de,4
709,far,chance,4
710,far,tracks,4
711,far,really,4
712,far,accessible,4
713,far,latin,4
